,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
0,0.45556581020355225,0.8445078730583191,0.8406593203544617,0.8571428656578064,0.45969358086586,0.8205980062484741,0.8308823704719543,0.7847222089767456,0.001
1,0.44407498836517334,0.8373751640319824,0.8384401202201843,0.843137264251709,0.4594028890132904,0.8205980062484741,0.8461538553237915,0.7638888955116272,0.001
2,0.4244033098220825,0.8901569247245789,0.8723404407501221,0.918767511844635,0.45295238494873047,0.8538206219673157,0.8246753215789795,0.8819444179534912,0.001
3,0.4395809769630432,0.8701854348182678,0.8518518805503845,0.9019607901573181,0.4510394036769867,0.8571428656578064,0.8258064389228821,0.8888888955116272,0.001
4,0.43407270312309265,0.8630527853965759,0.8595041036605835,0.8739495873451233,0.4499955177307129,0.8604651093482971,0.8227847814559937,0.9027777910232544,0.001
5,0.4286184310913086,0.8544935584068298,0.8277634978294373,0.9019607901573181,0.4480586647987366,0.8338870406150818,0.8405796885490417,0.8055555820465088,0.001
6,0.42792823910713196,0.871612012386322,0.8522427678108215,0.9047619104385376,0.4536193013191223,0.8106312155723572,0.8717948794364929,0.7083333134651184,0.001
7,0.4200277030467987,0.855920135974884,0.8535911440849304,0.8655462265014648,0.44068339467048645,0.8538206219673157,0.8333333134651184,0.8680555820465088,0.001
8,0.42991840839385986,0.8587731719017029,0.8486486673355103,0.8795518279075623,0.4428962469100952,0.8305647969245911,0.8549618124961853,0.7777777910232544,0.001
9,0.4353906810283661,0.8630527853965759,0.8461538553237915,0.8935574293136597,0.4408036470413208,0.8604651093482971,0.8187500238418579,0.9097222089767456,0.001
